ID_Orden,Numero_Orden,Ano_Orden,Fecha_Orden,Importe_Orden,Costo_Envio,Nombre_Proveedor,Nombre_Repartidor,Producto,Cantidad_Producto,Categoria_Producto,Estado_Orden,Metodo_Pago,Ciudad_Entrega,Tiempo_Entrega
1,2025-A-001,2025,05/01/2025,1250.75,60.00,Alicorp,Carlos Ramírez,Aceite Primor,50,Alimentos,Entregado,Transferencia,Lima,3
2,2025-A-002,2025,08/01/2025,3400.00,120.00,Gloria,Juan Pérez,Leche evaporada Gloria,200,Alimentos,Entregado,Tarjeta,Arequipa,5
3,2025-A-003,2025,12/01/2025,980.50,80.00,Backus,Rosa Gutiérrez,Cerveza Cristal,120,Bebidas,Pendiente,Efectivo,Trujillo,7
4,2025-A-004,2025,15/01/2025,250.99,40.00,San Fernando,Pedro Salazar,Pollo entero,90,Carnes,En tránsito,Transferencia,Chiclayo,4
5,2025-A-005,2025,20/01/2025,4500.20,150.00,InkaFarma,María Torres,Medicamentos genéricos,300,Salud,Entregado,Tarjeta,Lima,6
6,2025-A-006,2025,25/01/2025,789.30,60.00,Tottus,Luis Fernández,Arroz Tottus,100,Alimentos,Entregado,Efectivo,Piura,5
7,2025-A-007,2025,01/02/2025,1500.00,70.00,Laive,José Vargas,Queso fresco Laive,75,Lácteos,Entregado,Transferencia,Lima,3
8,2025-A-008,2025,05/02/2025,2100.45,90.00,Molitalia,Claudia Rojas,Fideos Molitalia,150,Alimentos,Entregado,Tarjeta,Arequipa,4
9,2025-A-009,2025,10/02/2025,550.80,50.00,Alicorp,Diego Castillo,Galletas Casino,60,Alimentos,Entregado,Efectivo,Trujillo,3
10,2025-A-010,2025,12/02/2025,675.10,55.00,Gloria,Andrea López,Yogurt Gloria,80,Lácteos,Pendiente,Tarjeta,Lima,6
11,2025-A-011,2025,18/02/2025,3800.60,130.00,Backus,Manuel Díaz,Cerveza Pilsen Callao,200,Bebidas,Entregado,Transferencia,Arequipa,5
12,2025-A-012,2025,20/02/2025,190.99,30.00,San Fernando,Sofía Herrera,Jamón San Fernando,40,Carnes,En tránsito,Efectivo,Piura,4
13,2025-A-013,2025,25/02/2025,2300.70,100.00,InkaFarma,Raúl Medina,Vitaminas,150,Salud,Entregado,Tarjeta,Lima,3
14,2025-A-014,2025,01/03/2025,410.25,45.00,Tottus,Patricia Flores,Azúcar Tottus,90,Alimentos,Entregado,Transferencia,Trujillo,5
15,2025-A-015,2025,05/03/2025,5600.00,200.00,Laive,Martín Chávez,Queso mantecoso,300,Lácteos,Entregado,Tarjeta,Lima,7
